"Statistic Label","Year","Percentile","Age Group","UNIT","VALUE"
"Weekly Earnings","2023","10th percentile","25 - 29 years","€","314.26"
"Weekly Earnings","2023","10th percentile","30 - 39 years","€","344.57"
"Weekly Earnings","2023","10th percentile","40 - 49 years","€","339.92"
"Weekly Earnings","2023","10th percentile","50 - 59 years","€","288"
"Weekly Earnings","2023","10th percentile","60 years and over","€","203.34"
"Weekly Earnings","2023","15th percentile","15 - 24 years","€","162.21"
"Weekly Earnings","2023","15th percentile","15 years and over","€","305.77"
"Weekly Earnings","2023","15th percentile","25 - 29 years","€","388.78"
"Weekly Earnings","2023","15th percentile","30 - 39 years","€","436.7"
"Weekly Earnings","2023","15th percentile","40 - 49 years","€","437.98"
"Weekly Earnings","2023","15th percentile","50 - 59 years","€","376.08"
"Weekly Earnings","2023","15th percentile","60 years and over","€","247.5"
"Weekly Earnings","2023","20th percentile","15 - 24 years","€","188.31"
"Weekly Earnings","2023","20th percentile","15 years and over","€","376.65"
"Weekly Earnings","2023","20th percentile","25 - 29 years","€","443.94"
"Weekly Earnings","2023","20th percentile","30 - 39 years","€","501.27"
"Weekly Earnings","2023","20th percentile","40 - 49 years","€","508.08"
"Weekly Earnings","2023","20th percentile","50 - 59 years","€","453.49"
"Weekly Earnings","2023","20th percentile","60 years and over","€","282.43"
"Weekly Earnings","2023","25th percentile","15 - 24 years","€","213.6"
"Weekly Earnings","2023","25th percentile","15 years and over","€","442.03"
"Weekly Earnings","2023","25th percentile","25 - 29 years","€","488.1"
"Weekly Earnings","2023","25th percentile","30 - 39 years","€","553.54"
"Weekly Earnings","2023","25th percentile","40 - 49 years","€","566.64"
"Weekly Earnings","2023","25th percentile","50 - 59 years","€","516.75"
"Weekly Earnings","2023","25th percentile","60 years and over","€","336.54"
"Weekly Earnings","2023","30th percentile","15 - 24 years","€","238.69"
"Weekly Earnings","2023","30th percentile","15 years and over","€","497.45"
"Weekly Earnings","2023","30th percentile","25 - 29 years","€","525.74"
"Weekly Earnings","2023","30th percentile","30 - 39 years","€","600"
"Weekly Earnings","2023","30th percentile","40 - 49 years","€","620.45"
"Weekly Earnings","2023","30th percentile","50 - 59 years","€","573.14"
"Weekly Earnings","2023","30th percentile","60 years and over","€","393.5"
"Weekly Earnings","2023","35th percentile","15 - 24 years","€","263.85"
"Weekly Earnings","2023","35th percentile","15 years and over","€","546.67"
"Weekly Earnings","2023","35th percentile","25 - 29 years","€","559.38"
"Weekly Earnings","2023","35th percentile","30 - 39 years","€","648.25"
"Weekly Earnings","2023","35th percentile","40 - 49 years","€","674.12"
"Weekly Earnings","2023","35th percentile","50 - 59 years","€","627.22"
"Weekly Earnings","2023","35th percentile","60 years and over","€","450.12"
"Weekly Earnings","2023","40th percentile","15 - 24 years","€","292.62"
"Weekly Earnings","2023","40th percentile","15 years and over","€","594.88"
"Weekly Earnings","2023","40th percentile","25 - 29 years","€","591.34"
"Weekly Earnings","2023","40th percentile","30 - 39 years","€","696.92"
"Weekly Earnings","2023","40th percentile","40 - 49 years","€","729.74"
"Weekly Earnings","2023","40th percentile","50 - 59 years","€","683.2"
"Weekly Earnings","2023","40th percentile","60 years and over","€","505.4"
"Weekly Earnings","2023","45th percentile","15 - 24 years","€","322.05"
"Weekly Earnings","2023","45th percentile","15 years and over","€","645.96"
"Weekly Earnings","2023","45th percentile","25 - 29 years","€","626.39"
"Weekly Earnings","2023","45th percentile","30 - 39 years","€","750.39"
"Weekly Earnings","2023","45th percentile","40 - 49 years","€","789.6"
"Weekly Earnings","2023","45th percentile","50 - 59 years","€","740.95"
"Weekly Earnings","2023","45th percentile","60 years and over","€","562.79"
"Weekly Earnings","2023","50th percentile","15 - 24 years","€","353.49"
"Weekly Earnings","2023","50th percentile","15 years and over","€","699.28"
"Weekly Earnings","2023","50th percentile","25 - 29 years","€","663.21"
"Weekly Earnings","2023","50th percentile","30 - 39 years","€","807.69"
"Weekly Earnings","2023","50th percentile","40 - 49 years","€","855.42"
"Weekly Earnings","2023","50th percentile","50 - 59 years","€","804.35"
"Weekly Earnings","2023","50th percentile","60 years and over","€","620.61"
"Weekly Earnings","2023","55th percentile","15 - 24 years","€","387.66"
"Weekly Earnings","2023","55th percentile","15 years and over","€","759.87"
"Weekly Earnings","2023","55th percentile","25 - 29 years","€","701.51"
"Weekly Earnings","2023","55th percentile","30 - 39 years","€","871.1"
"Weekly Earnings","2023","55th percentile","40 - 49 years","€","927.75"
"Weekly Earnings","2023","55th percentile","50 - 59 years","€","865.97"
"Weekly Earnings","2023","55th percentile","60 years and over","€","683.08"
"Weekly Earnings","2023","60th percentile","15 - 24 years","€","420.66"
"Weekly Earnings","2023","60th percentile","15 years and over","€","826.21"
"Weekly Earnings","2023","60th percentile","25 - 29 years","€","747.12"
"Weekly Earnings","2023","60th percentile","30 - 39 years","€","940.24"
"Weekly Earnings","2023","60th percentile","40 - 49 years","€","1011.21"
"Weekly Earnings","2023","60th percentile","50 - 59 years","€","949.08"
"Weekly Earnings","2023","60th percentile","60 years and over","€","746.24"
"Weekly Earnings","2023","65th percentile","15 - 24 years","€","452.49"
"Weekly Earnings","2023","65th percentile","15 years and over","€","899.43"
"Weekly Earnings","2023","65th percentile","25 - 29 years","€","796.88"
"Weekly Earnings","2023","65th percentile","30 - 39 years","€","1015.33"
"Weekly Earnings","2023","65th percentile","40 - 49 years","€","1108.24"
"Weekly Earnings","2023","65th percentile","50 - 59 years","€","1041.74"
"Weekly Earnings","2023","65th percentile","60 years and over","€","815.95"
"Weekly Earnings","2023","70th percentile","15 - 24 years","€","486.86"
"Weekly Earnings","2023","70th percentile","15 years and over","€","988.05"
"Weekly Earnings","2023","70th percentile","25 - 29 years","€","849.25"
"Weekly Earnings","2023","70th percentile","30 - 39 years","€","1097.33"
"Weekly Earnings","2023","70th percentile","40 - 49 years","€","1224.36"
"Weekly Earnings","2023","70th percentile","50 - 59 years","€","1156.05"
"Weekly Earnings","2023","70th percentile","60 years and over","€","881.48"
"Weekly Earnings","2023","75th percentile","15 - 24 years","€","523.15"
"Weekly Earnings","2023","75th percentile","15 years and over","€","1096.82"
"Weekly Earnings","2023","75th percentile","25 - 29 years","€","904.76"
"Weekly Earnings","2023","75th percentile","30 - 39 years","€","1192.61"
"Weekly Earnings","2023","75th percentile","40 - 49 years","€","1346.15"
"Weekly Earnings","2023","75th percentile","50 - 59 years","€","1298.29"
"Weekly Earnings","2023","75th percentile","60 years and over","€","975"
"Weekly Earnings","2023","80th percentile","15 - 24 years","€","563.08"
"Weekly Earnings","2023","80th percentile","15 years and over","€","1236.77"
"Weekly Earnings","2023","80th percentile","25 - 29 years","€","972.67"
"Weekly Earnings","2023","80th percentile","30 - 39 years","€","1306.2"
"Weekly Earnings","2023","80th percentile","40 - 49 years","€","1482.23"
"Weekly Earnings","2023","80th percentile","50 - 59 years","€","1457.72"
"Weekly Earnings","2023","80th percentile","60 years and over","€","1101.41"
"Weekly Earnings","2023","85th percentile","15 - 24 years","€","613.08"
"Weekly Earnings","2023","85th percentile","15 years and over","€","1410.93"
"Weekly Earnings","2023","85th percentile","25 - 29 years","€","1069.31"
"Weekly Earnings","2023","85th percentile","30 - 39 years","€","1465.7"
"Weekly Earnings","2023","85th percentile","40 - 49 years","€","1671.15"
"Weekly Earnings","2023","85th percentile","50 - 59 years","€","1660.2"
"Weekly Earnings","2023","85th percentile","60 years and over","€","1282.31"
"Weekly Earnings","2023","90th percentile","15 - 24 years","€","684.87"
"Weekly Earnings","2023","90th percentile","15 years and over","€","1663.72"
"Weekly Earnings","2023","90th percentile","25 - 29 years","€","1211.8"
"Weekly Earnings","2023","90th percentile","30 - 39 years","€","1704.47"
"Weekly Earnings","2023","90th percentile","40 - 49 years","€","1964.91"
"Weekly Earnings","2023","90th percentile","50 - 59 years","€","1954.29"
"Weekly Earnings","2023","90th percentile","60 years and over","€","1543.85"
"Weekly Earnings","2023","95th percentile","15 - 24 years","€","808.17"
"Weekly Earnings","2023","95th percentile","15 years and over","€","2166.25"
"Weekly Earnings","2023","95th percentile","25 - 29 years","€","1484.31"
"Weekly Earnings","2023","95th percentile","30 - 39 years","€","2185.57"
"Weekly Earnings","2023","95th percentile","40 - 49 years","€","2610.5"
"Weekly Earnings","2023","95th percentile","50 - 59 years","€","2635.52"
"Weekly Earnings","2023","95th percentile","60 years and over","€","2013.52"
"Annual Earnings","2011","5th percentile","15 - 24 years","€","5096"
"Annual Earnings","2011","5th percentile","15 years and over","€","8858"
"Annual Earnings","2011","5th percentile","25 - 29 years","€","10816"
"Annual Earnings","2011","5th percentile","30 - 39 years","€","11784"
"Annual Earnings","2011","5th percentile","40 - 49 years","€","10250"
"Annual Earnings","2011","5th percentile","50 - 59 years","€","8771"
"Annual Earnings","2011","5th percentile","60 years and over","€","4925"
"Annual Earnings","2011","10th percentile","15 - 24 years","€","6708"
"Annual Earnings","2011","10th percentile","15 years and over","€","12475"
"Annual Earnings","2011","10th percentile","25 - 29 years","€","14739"
"Annual Earnings","2011","10th percentile","30 - 39 years","€","16593"
"Annual Earnings","2011","10th percentile","40 - 49 years","€","14286"
"Annual Earnings","2011","10th percentile","50 - 59 years","€","12076"
"Annual Earnings","2011","10th percentile","60 years and over","€","7279"
"Annual Earnings","2011","15th percentile","15 - 24 years","€","8055"
"Annual Earnings","2011","15th percentile","15 years and over","€","15981"
"Annual Earnings","2011","15th percentile","25 - 29 years","€","17195"
"Annual Earnings","2011","15th percentile","30 - 39 years","€","19652"
"Annual Earnings","2011","15th percentile","40 - 49 years","€","17912"
"Annual Earnings","2011","15th percentile","50 - 59 years","€","15867"
"Annual Earnings","2011","15th percentile","60 years and over","€","9811"
"Annual Earnings","2011","20th percentile","15 - 24 years","€","9299"
"Annual Earnings","2011","20th percentile","15 years and over","€","18517"
"Annual Earnings","2011","20th percentile","25 - 29 years","€","18811"
"Annual Earnings","2011","20th percentile","30 - 39 years","€","22372"
"Annual Earnings","2011","20th percentile","40 - 49 years","€","20920"
"Annual Earnings","2011","20th percentile","50 - 59 years","€","18855"
"Annual Earnings","2011","20th percentile","60 years and over","€","10947"
"Annual Earnings","2011","25th percentile","15 - 24 years","€","10504"
"Annual Earnings","2011","25th percentile","15 years and over","€","20956"
"Annual Earnings","2011","25th percentile","25 - 29 years","€","20357"
"Annual Earnings","2011","25th percentile","30 - 39 years","€","24882"
"Annual Earnings","2011","25th percentile","40 - 49 years","€","23851"
"Annual Earnings","2011","25th percentile","50 - 59 years","€","21813"
"Annual Earnings","2011","25th percentile","60 years and over","€","13460"
"Annual Earnings","2011","30th percentile","15 - 24 years","€","11717"
"Annual Earnings","2011","30th percentile","15 years and over","€","23400"
"Annual Earnings","2011","30th percentile","25 - 29 years","€","21920"
"Annual Earnings","2011","30th percentile","30 - 39 years","€","27155"
"Annual Earnings","2011","30th percentile","40 - 49 years","€","26599"
"Annual Earnings","2011","30th percentile","50 - 59 years","€","24900"
"Annual Earnings","2011","30th percentile","60 years and over","€","16000"
"Annual Earnings","2011","35th percentile","15 - 24 years","€","12996"
"Annual Earnings","2011","35th percentile","15 years and over","€","25786"
"Annual Earnings","2011","35th percentile","25 - 29 years","€","23444"
"Annual Earnings","2011","35th percentile","30 - 39 years","€","29430"
"Annual Earnings","2011","35th percentile","40 - 49 years","€","29312"
"Annual Earnings","2011","35th percentile","50 - 59 years","€","27901"
"Annual Earnings","2011","35th percentile","60 years and over","€","18157"
"Annual Earnings","2011","40th percentile","15 - 24 years","€","14285"
"Annual Earnings","2011","40th percentile","15 years and over","€","28117"
"Annual Earnings","2011","40th percentile","25 - 29 years","€","24975"
"Annual Earnings","2011","40th percentile","30 - 39 years","€","31726"
"Annual Earnings","2011","40th percentile","40 - 49 years","€","32011"
"Annual Earnings","2011","40th percentile","50 - 59 years","€","30782"
"Annual Earnings","2011","40th percentile","60 years and over","€","20720"
"Annual Earnings","2011","45th percentile","15 - 24 years","€","15552"
"Annual Earnings","2011","45th percentile","15 years and over","€","30574"
"Annual Earnings","2011","45th percentile","25 - 29 years","€","26402"
"Annual Earnings","2011","45th percentile","30 - 39 years","€","34096"
"Annual Earnings","2011","45th percentile","40 - 49 years","€","34945"
"Annual Earnings","2011","45th percentile","50 - 59 years","€","33683"
"Annual Earnings","2011","45th percentile","60 years and over","€","23267"
"Annual Earnings","2011","50th percentile","15 - 24 years","€","16701"
"Annual Earnings","2011","50th percentile","15 years and over","€","33158"
"Annual Earnings","2011","50th percentile","25 - 29 years","€","27944"
"Annual Earnings","2011","50th percentile","30 - 39 years","€","36508"
"Annual Earnings","2011","50th percentile","40 - 49 years","€","37789"
"Annual Earnings","2011","50th percentile","50 - 59 years","€","36676"
"Annual Earnings","2011","50th percentile","60 years and over","€","26026"
"Annual Earnings","2011","55th percentile","15 - 24 years","€","17788"
"Annual Earnings","2011","55th percentile","15 years and over","€","35957"
"Annual Earnings","2011","55th percentile","25 - 29 years","€","29610"
"Annual Earnings","2011","55th percentile","30 - 39 years","€","39203"
"Annual Earnings","2011","55th percentile","40 - 49 years","€","41020"
"Annual Earnings","2011","55th percentile","50 - 59 years","€","39752"
"Annual Earnings","2011","55th percentile","60 years and over","€","29066"
"Annual Earnings","2011","60th percentile","15 - 24 years","€","18790"
"Annual Earnings","2011","60th percentile","15 years and over","€","38938"
"Annual Earnings","2011","60th percentile","25 - 29 years","€","31402"
"Annual Earnings","2011","60th percentile","30 - 39 years","€","41958"
"Annual Earnings","2011","60th percentile","40 - 49 years","€","44524"
"Annual Earnings","2011","60th percentile","50 - 59 years","€","42913"
"Annual Earnings","2011","60th percentile","60 years and over","€","31847"
"Annual Earnings","2011","65th percentile","15 - 24 years","€","19984"
"Annual Earnings","2011","65th percentile","15 years and over","€","42121"
"Annual Earnings","2011","65th percentile","25 - 29 years","€","33426"
"Annual Earnings","2011","65th percentile","30 - 39 years","€","44979"
"Annual Earnings","2011","65th percentile","40 - 49 years","€","48656"
"Annual Earnings","2011","65th percentile","50 - 59 years","€","47143"
"Annual Earnings","2011","65th percentile","60 years and over","€","34861"
"Annual Earnings","2011","70th percentile","15 - 24 years","€","21358"
"Annual Earnings","2011","70th percentile","15 years and over","€","45638"
"Annual Earnings","2011","70th percentile","25 - 29 years","€","35804"
"Annual Earnings","2011","70th percentile","30 - 39 years","€","48127"
"Annual Earnings","2011","70th percentile","40 - 49 years","€","53566"
"Annual Earnings","2011","70th percentile","50 - 59 years","€","52301"
"Annual Earnings","2011","70th percentile","60 years and over","€","38177"
"Annual Earnings","2011","75th percentile","15 - 24 years","€","23000"
"Annual Earnings","2011","75th percentile","15 years and over","€","50011"
"Annual Earnings","2011","75th percentile","25 - 29 years","€","38513"
"Annual Earnings","2011","75th percentile","30 - 39 years","€","51590"
"Annual Earnings","2011","75th percentile","40 - 49 years","€","58643"
"Annual Earnings","2011","75th percentile","50 - 59 years","€","57755"
"Annual Earnings","2011","75th percentile","60 years and over","€","42022"
"Annual Earnings","2011","80th percentile","15 - 24 years","€","24751"
"Annual Earnings","2011","80th percentile","15 years and over","€","55224"
"Annual Earnings","2011","80th percentile","25 - 29 years","€","41387"
"Annual Earnings","2011","80th percentile","30 - 39 years","€","55442"
"Annual Earnings","2011","80th percentile","40 - 49 years","€","64186"
"Annual Earnings","2011","80th percentile","50 - 59 years","€","64109"
"Annual Earnings","2011","80th percentile","60 years and over","€","47500"
"Annual Earnings","2011","85th percentile","15 - 24 years","€","27061"
"Annual Earnings","2011","85th percentile","15 years and over","€","61500"
"Annual Earnings","2011","85th percentile","25 - 29 years","€","44226"
"Annual Earnings","2011","85th percentile","30 - 39 years","€","60017"
"Annual Earnings","2011","85th percentile","40 - 49 years","€","71073"
"Annual Earnings","2011","85th percentile","50 - 59 years","€","70905"
"Annual Earnings","2011","85th percentile","60 years and over","€","55297"
"Annual Earnings","2011","90th percentile","15 - 24 years","€","30881"
"Annual Earnings","2011","90th percentile","15 years and over","€","70386"
"Annual Earnings","2011","90th percentile","25 - 29 years","€","47907"
"Annual Earnings","2011","90th percentile","30 - 39 years","€","67198"
"Annual Earnings","2011","90th percentile","40 - 49 years","€","81753"
"Annual Earnings","2011","90th percentile","50 - 59 years","€","79594"
"Annual Earnings","2011","90th percentile","60 years and over","€","66235"
"Annual Earnings","2011","95th percentile","15 - 24 years","€","37689"
"Annual Earnings","2011","95th percentile","15 years and over","€","86804"
"Annual Earnings","2011","95th percentile","25 - 29 years","€","54581"
"Annual Earnings","2011","95th percentile","30 - 39 years","€","81449"
"Annual Earnings","2011","95th percentile","40 - 49 years","€","105107"
"Annual Earnings","2011","95th percentile","50 - 59 years","€","98084"
"Annual Earnings","2011","95th percentile","60 years and over","€","84881"
"Annual Earnings","2012","5th percentile","15 - 24 years","€","4986"
"Annual Earnings","2012","5th percentile","15 years and over","€","8749"
"Annual Earnings","2012","5th percentile","25 - 29 years","€","10400"
"Annual Earnings","2012","5th percentile","30 - 39 years","€","11233"
"Annual Earnings","2012","5th percentile","40 - 49 years","€","10105"
"Annual Earnings","2012","5th percentile","50 - 59 years","€","8771"
"Annual Earnings","2012","5th percentile","60 years and over","€","4882"
"Annual Earnings","2012","10th percentile","15 - 24 years","€","6552"
"Annual Earnings","2012","10th percentile","15 years and over","€","12117"
"Annual Earnings","2012","10th percentile","25 - 29 years","€","14111"
"Annual Earnings","2012","10th percentile","30 - 39 years","€","16138"
"Annual Earnings","2012","10th percentile","40 - 49 years","€","14023"
"Annual Earnings","2012","10th percentile","50 - 59 years","€","11794"
"Annual Earnings","2012","10th percentile","60 years and over","€","7240"
"Annual Earnings","2012","15th percentile","15 - 24 years","€","7882"
"Annual Earnings","2012","15th percentile","15 years and over","€","15648"
"Annual Earnings","2012","15th percentile","25 - 29 years","€","16672"
"Annual Earnings","2012","15th percentile","30 - 39 years","€","19147"
"Annual Earnings","2012","15th percentile","40 - 49 years","€","17705"
"Annual Earnings","2012","15th percentile","50 - 59 years","€","15672"
"Annual Earnings","2012","15th percentile","60 years and over","€","9760"
"Annual Earnings","2012","20th percentile","15 - 24 years","€","9075"
"Annual Earnings","2012","20th percentile","15 years and over","€","18200"
"Annual Earnings","2012","20th percentile","25 - 29 years","€","18252"
"Annual Earnings","2012","20th percentile","30 - 39 years","€","21856"
"Annual Earnings","2012","20th percentile","40 - 49 years","€","20762"
"Annual Earnings","2012","20th percentile","50 - 59 years","€","18605"
"Annual Earnings","2012","20th percentile","60 years and over","€","10816"
"Annual Earnings","2012","25th percentile","15 - 24 years","€","10270"
"Annual Earnings","2012","25th percentile","15 years and over","€","20612"
"Annual Earnings","2012","25th percentile","25 - 29 years","€","19796"
"Annual Earnings","2012","25th percentile","30 - 39 years","€","24362"
"Annual Earnings","2012","25th percentile","40 - 49 years","€","23727"
"Annual Earnings","2012","25th percentile","50 - 59 years","€","21630"
"Annual Earnings","2012","25th percentile","60 years and over","€","13137"
"Annual Earnings","2012","30th percentile","15 - 24 years","€","11372"
"Annual Earnings","2012","30th percentile","15 years and over","€","23043"
"Annual Earnings","2012","30th percentile","25 - 29 years","€","21285"
"Annual Earnings","2012","30th percentile","30 - 39 years","€","26666"
"Annual Earnings","2012","30th percentile","40 - 49 years","€","26534"
"Annual Earnings","2012","30th percentile","50 - 59 years","€","24682"
"Annual Earnings","2012","30th percentile","60 years and over","€","15600"
"Annual Earnings","2012","35th percentile","15 - 24 years","€","12575"
"Annual Earnings","2012","35th percentile","15 years and over","€","25481"
"Annual Earnings","2012","35th percentile","25 - 29 years","€","22850"
"Annual Earnings","2012","35th percentile","30 - 39 years","€","28894"
"Annual Earnings","2012","35th percentile","40 - 49 years","€","29274"
"Annual Earnings","2012","35th percentile","50 - 59 years","€","27727"
"Annual Earnings","2012","35th percentile","60 years and over","€","17667"
"Annual Earnings","2012","40th percentile","15 - 24 years","€","13795"
"Annual Earnings","2012","40th percentile","15 years and over","€","27879"
"Annual Earnings","2012","40th percentile","25 - 29 years","€","24337"
"Annual Earnings","2012","40th percentile","30 - 39 years","€","31145"
"Annual Earnings","2012","40th percentile","40 - 49 years","€","32001"
"Annual Earnings","2012","40th percentile","50 - 59 years","€","30573"
"Annual Earnings","2012","40th percentile","60 years and over","€","20000"
"Annual Earnings","2012","45th percentile","15 - 24 years","€","15007"
"Annual Earnings","2012","45th percentile","15 years and over","€","30313"
"Annual Earnings","2012","45th percentile","25 - 29 years","€","25843"
"Annual Earnings","2012","45th percentile","30 - 39 years","€","33450"
"Annual Earnings","2012","45th percentile","40 - 49 years","€","34884"
"Annual Earnings","2012","45th percentile","50 - 59 years","€","33485"
"Annual Earnings","2012","45th percentile","60 years and over","€","22408"
"Annual Earnings","2012","50th percentile","15 - 24 years","€","16104"
"Annual Earnings","2012","50th percentile","15 years and over","€","32901"
"Annual Earnings","2012","50th percentile","25 - 29 years","€","27312"
"Annual Earnings","2012","50th percentile","30 - 39 years","€","35860"
"Annual Earnings","2012","50th percentile","40 - 49 years","€","37638"
"Annual Earnings","2012","50th percentile","50 - 59 years","€","36334"
"Annual Earnings","2012","50th percentile","60 years and over","€","25220"
"Annual Earnings","2012","55th percentile","15 - 24 years","€","17193"
"Annual Earnings","2012","55th percentile","15 years and over","€","35656"
"Annual Earnings","2012","55th percentile","25 - 29 years","€","28916"
"Annual Earnings","2012","55th percentile","30 - 39 years","€","38431"
"Annual Earnings","2012","55th percentile","40 - 49 years","€","40946"
"Annual Earnings","2012","55th percentile","50 - 59 years","€","39230"
"Annual Earnings","2012","55th percentile","60 years and over","€","28133"
"Annual Earnings","2012","60th percentile","15 - 24 years","€","18198"
"Annual Earnings","2012","60th percentile","15 years and over","€","38554"
"Annual Earnings","2012","60th percentile","25 - 29 years","€","30633"
"Annual Earnings","2012","60th percentile","30 - 39 years","€","41183"
"Annual Earnings","2012","60th percentile","40 - 49 years","€","44575"
"Annual Earnings","2012","60th percentile","50 - 59 years","€","42567"
"Annual Earnings","2012","60th percentile","60 years and over","€","30859"
"Annual Earnings","2012","65th percentile","15 - 24 years","€","19256"
"Annual Earnings","2012","65th percentile","15 years and over","€","41852"
"Annual Earnings","2012","65th percentile","25 - 29 years","€","32604"
"Annual Earnings","2012","65th percentile","30 - 39 years","€","44309"
"Annual Earnings","2012","65th percentile","40 - 49 years","€","48784"
"Annual Earnings","2012","65th percentile","50 - 59 years","€","46650"
"Annual Earnings","2012","65th percentile","60 years and over","€","33898"
"Annual Earnings","2012","70th percentile","15 - 24 years","€","20552"
"Annual Earnings","2012","70th percentile","15 years and over","€","45494"
"Annual Earnings","2012","70th percentile","25 - 29 years","€","34983"
"Annual Earnings","2012","70th percentile","30 - 39 years","€","47570"
"Annual Earnings","2012","70th percentile","40 - 49 years","€","53733"
"Annual Earnings","2012","70th percentile","50 - 59 years","€","51816"
"Annual Earnings","2012","70th percentile","60 years and over","€","37094"
"Annual Earnings","2012","75th percentile","15 - 24 years","€","22086"
"Annual Earnings","2012","75th percentile","15 years and over","€","50002"
"Annual Earnings","2012","75th percentile","25 - 29 years","€","37686"
"Annual Earnings","2012","75th percentile","30 - 39 years","€","51129"
"Annual Earnings","2012","75th percentile","40 - 49 years","€","58748"
"Annual Earnings","2012","75th percentile","50 - 59 years","€","57345"
"Annual Earnings","2012","75th percentile","60 years and over","€","40564"
"Annual Earnings","2012","80th percentile","15 - 24 years","€","23831"
"Annual Earnings","2012","80th percentile","15 years and over","€","55220"
"Annual Earnings","2012","80th percentile","25 - 29 years","€","40867"
"Annual Earnings","2012","80th percentile","30 - 39 years","€","55000"
"Annual Earnings","2012","80th percentile","40 - 49 years","€","64195"
"Annual Earnings","2012","80th percentile","50 - 59 years","€","63529"
"Annual Earnings","2012","80th percentile","60 years and over","€","45613"
"Annual Earnings","2012","85th percentile","15 - 24 years","€","26051"
"Annual Earnings","2012","85th percentile","15 years and over","€","61302"
"Annual Earnings","2012","85th percentile","25 - 29 years","€","43835"
"Annual Earnings","2012","85th percentile","30 - 39 years","€","59322"
"Annual Earnings","2012","85th percentile","40 - 49 years","€","71256"
"Annual Earnings","2012","85th percentile","50 - 59 years","€","70508"
"Annual Earnings","2012","85th percentile","60 years and over","€","53266"
"Annual Earnings","2012","90th percentile","15 - 24 years","€","29586"
"Annual Earnings","2012","90th percentile","15 years and over","€","70414"
"Annual Earnings","2012","90th percentile","25 - 29 years","€","47605"
"Annual Earnings","2012","90th percentile","30 - 39 years","€","66262"
"Annual Earnings","2012","90th percentile","40 - 49 years","€","82426"
"Annual Earnings","2012","90th percentile","50 - 59 years","€","79656"
"Annual Earnings","2012","90th percentile","60 years and over","€","64206"
"Annual Earnings","2012","95th percentile","15 - 24 years","€","35398"
"Annual Earnings","2012","95th percentile","15 years and over","€","87431"
"Annual Earnings","2012","95th percentile","25 - 29 years","€","54421"
"Annual Earnings","2012","95th percentile","30 - 39 years","€","80734"
"Annual Earnings","2012","95th percentile","40 - 49 years","€","105933"
"Annual Earnings","2012","95th percentile","50 - 59 years","€","98894"
"Annual Earnings","2012","95th percentile","60 years and over","€","84219"
"Annual Earnings","2013","5th percentile","15 - 24 years","€","5000"
"Annual Earnings","2013","5th percentile","15 years and over","€","8713"
"Annual Earnings","2013","5th percentile","25 - 29 years","€","10120"
"Annual Earnings","2013","5th percentile","30 - 39 years","€","11165"
"Annual Earnings","2013","5th percentile","40 - 49 years","€","10140"
"Annual Earnings","2013","5th percentile","50 - 59 years","€","8786"
"Annual Earnings","2013","5th percentile","60 years and over","€","4918"
"Annual Earnings","2013","10th percentile","15 - 24 years","€","6578"
"Annual Earnings","2013","10th percentile","15 years and over","€","12155"
"Annual Earnings","2013","10th percentile","25 - 29 years","€","13855"
"Annual Earnings","2013","10th percentile","30 - 39 years","€","16110"
"Annual Earnings","2013","10th percentile","40 - 49 years","€","14314"
"Annual Earnings","2013","10th percentile","50 - 59 years","€","11907"
"Annual Earnings","2013","10th percentile","60 years and over","€","7290"
"Annual Earnings","2013","15th percentile","15 - 24 years","€","7903"
"Annual Earnings","2013","15th percentile","15 years and over","€","15713"
"Annual Earnings","2013","15th percentile","25 - 29 years","€","16399"
"Annual Earnings","2013","15th percentile","30 - 39 years","€","19060"
"Annual Earnings","2013","15th percentile","40 - 49 years","€","17951"
"Annual Earnings","2013","15th percentile","50 - 59 years","€","15781"
"Annual Earnings","2013","15th percentile","60 years and over","€","9939"
"Annual Earnings","2013","20th percentile","15 - 24 years","€","9063"
"Annual Earnings","2013","20th percentile","15 years and over","€","18200"
"Annual Earnings","2013","20th percentile","25 - 29 years","€","18041"
"Annual Earnings","2013","20th percentile","30 - 39 years","€","21797"
"Annual Earnings","2013","20th percentile","40 - 49 years","€","21000"
"Annual Earnings","2013","20th percentile","50 - 59 years","€","18669"
"Annual Earnings","2013","20th percentile","60 years and over","€","10967"
"Annual Earnings","2013","25th percentile","15 - 24 years","€","10250"
"Annual Earnings","2013","25th percentile","15 years and over","€","20702"
"Annual Earnings","2013","25th percentile","25 - 29 years","€","19530"
"Annual Earnings","2013","25th percentile","30 - 39 years","€","24283"
"Annual Earnings","2013","25th percentile","40 - 49 years","€","24031"
"Annual Earnings","2013","25th percentile","50 - 59 years","€","21732"
"Annual Earnings","2013","25th percentile","60 years and over","€","13458"
"Annual Earnings","2013","30th percentile","15 - 24 years","€","11343"
"Annual Earnings","2013","30th percentile","15 years and over","€","23184"
"Annual Earnings","2013","30th percentile","25 - 29 years","€","21037"
"Annual Earnings","2013","30th percentile","30 - 39 years","€","26544"
"Annual Earnings","2013","30th percentile","40 - 49 years","€","26946"
"Annual Earnings","2013","30th percentile","50 - 59 years","€","24896"
"Annual Earnings","2013","30th percentile","60 years and over","€","15987"
"Annual Earnings","2013","35th percentile","15 - 24 years","€","12545"
"Annual Earnings","2013","35th percentile","15 years and over","€","25626"
"Annual Earnings","2013","35th percentile","25 - 29 years","€","22574"
